Uniprot id,Gene,Pep Count,log2_fc,q-value
Q9NRU3,CNNM1,2,-0.814,0.021318
Q16850,CYP51A1,17,-0.816,0.000772
P51805,PLXNA3,20,-0.817,0.003665
Q8ND76,CCNY,8,-0.82,0.000499
O75326,SEMA7A,3,-0.823,0.154347
P08754,GNAI3,6,-0.828,0.000509
Q9UN70,PCDHGC3,6,-0.828,0.110335
P53794,SLC5A3,9,-0.837,0.00111
Q01484,ANK2,8,-0.84,0.001661
Q14964,RAB39A,4,-0.842,0.000658
Q9ULP9,TBC1D24,4,-0.843,0.000515
Q9H910,JPT2,6,-0.845,0.000187
Q5T3F8,TMEM63B,11,-0.848,0.000311
P62993,GRB2,15,-0.853,0.000251
Q96BS2,TESC,2,-0.854,0.001607
Q9NZW5,MPP6,34,-0.858,0.000725
Q9UKZ4,TENM1,2,-0.859,0.03845
Q12955,ANK3,39,-0.861,0.000372
P32856,STX2,4,-0.862,0.000204
Q9NZ09,UBAP1,7,-0.873,0.000456
Q9HBM0,VEZT,10,-0.876,0.002127
Q14642,INPP5A,8,-0.877,0.000257
P61266,STX1B,3,-0.878,0.000289
Q96SB4,SRPK1,6,-0.88,0.000187
P09429,HMGB1,5,-0.881,0.003795
Q00536,CDK16,2,-0.881,0.000382
Q8WZ73,RFFL,4,-0.887,0.000248
Q9Y508,RNF114,5,-0.89,0.000203
Q9NP58,ABCB6,20,-0.892,0.000165
P08238,HSP90AB1,42,-0.893,0.001524
Q8N4T4,ARHGEF39,7,-0.895,0.002319
P11362,FGFR1,18,-0.897,0.000393
Q13492,PICALM,15,-0.898,0.000233
P50148,GNAQ,4,-0.903,0.005939
Q8N6H7,ARFGAP2,14,-0.906,0.000367
P84085,ARF5,7,-0.908,0.001935
Q9P244,LRFN1,10,-0.908,0.000601
Q99808,SLC29A1,15,-0.908,0.000294
Q8NBJ4,GOLM1,20,-0.915,0.006716
P08183,ABCB1,7,-0.916,0.000064
O15357,INPPL1,22,-0.916,0.000256
Q9NPG1,FZD3,11,-0.917,0.001927
Q9C0H2,TTYH3,10,-0.92,0.000229
Q9Y4G8,RAPGEF2,4,-0.921,0.000104
Q9ULC3,RAB23,6,-0.926,0.000207
P30520,ADSS,10,-0.927,0.000085
Q99829,CPNE1,6,-0.928,0.000799
Q9P2J2,IGSF9,6,-0.931,0.000837
Q01968,OCRL,13,-0.935,0.000461
P00519,ABL1,6,-0.936,0.000147
P61077,UBE2D3,2,-0.937,0.000707
P48426,PIP4K2A,2,-0.939,0.000409
P25098,GRK2,3,-0.939,0.000297
O14827,RASGRF2,2,-0.942,0.02563
P50579,METAP2,5,-0.949,0.001984
P33527,ABCC1,89,-0.951,0.000368
Q99677,LPAR4,2,-0.952,0.000071
P29074,PTPN4,2,-0.957,0.000097
O75116,ROCK2,40,-0.958,0.000114
Q93052,LPP,8,-0.959,0.000222
Q9UBT7,CTNNAL1,18,-0.965,0.000865
O43813,LANCL1,4,-0.969,0.000209
Q9UN74,PCDHA4,3,-0.969,0.042563
Q9H3Q1,CDC42EP4,7,-0.971,0.000113
Q96RF0,SNX18,7,-0.972,0.000336
Q00587,CDC42EP1,5,-0.974,0.000922
Q5ZPR3,CD276,11,-0.974,0.00024
O43150,ASAP2,6,-0.976,0.000094
Q8N608,DPP10,9,-0.976,0.000062
Q13158,FADD,3,-0.979,0.000526
P35052,GPC1,13,-0.982,0.375602
Q9Y4H2,IRS2,6,-0.983,0.000968
Q5TCQ9,MAGI3,3,-0.984,0.00032
Q8NF37,LPCAT1,14,-0.986,0.000239
Q9Y5V3,MAGED1,10,-0.988,0.002242
Q6PJF5,RHBDF2,9,-0.996,0.00005
Q8WXG9,ADGRV1,21,-1.001,0.003284
P07947,YES1,13,-1.005,0.000111
P10253,GAA,9,-1.009,0.000106
O96019,ACTL6A,6,-1.01,0.000121
Q15223,NECTIN1,24,-1.01,0.000744
Q96FE5,LINGO1,12,-1.011,0.008191
O00186,STXBP3,23,-1.012,0.000344
Q99497,PARK7,11,-1.012,0.000129
Q8IXQ5,KLHL7,2,-1.019,0.000119
Q04760,GLO1,3,-1.02,0.003748
Q9H9A6,LRRC40,16,-1.023,0.000055
Q9Y4C0,NRXN3,2,-1.025,0.003934
O00213,APBB1,3,-1.026,0.000204
P41240,CSK,8,-1.027,0.000074
P22223,CDH3,21,-1.028,0.010624
Q05682,CALD1,17,-1.028,0.000132
Q8N5I2,ARRDC1,3,-1.029,0.000226
Q13574,DGKZ,9,-1.029,0.000031
Q12797,ASPH,16,-1.03,0.00323
P61586,RHOA,3,-1.033,0.000215
Q8N441,FGFRL1,4,-1.033,0.113277
Q9HBA0,TRPV4,4,-1.043,0.00463
Q96NR3,PTCHD1,4,-1.044,0.000095
Q8NHG8,ZNRF2,3,-1.045,0.000358
Q12891,HYAL2,4,-1.046,0.000173
Q86YD1,PTOV1,2,-1.047,0.001035
Q8TEW0,PARD3,25,-1.053,0.00007
Q86W92,PPFIBP1,14,-1.056,0.000069
Q9P273,TENM3,94,-1.056,0.000955
P78352,DLG4,7,-1.059,0.000123
Q8TCT0,CERK,4,-1.063,0.000076
P10909,CLU,8,-1.063,0.000753
O14514,ADGRB1,7,-1.074,0.000031
O94910,ADGRL1,29,-1.076,0.019078
Q9Y6X5,ENPP4,3,-1.083,0.001847
O95057,DIRAS1,2,-1.088,0.000079
Q14832,GRM3,3,-1.089,0.00247
Q8J025,APCDD1,2,-1.093,0.000056
P55287,CDH11,2,-1.094,0.17667
P43007,SLC1A4,10,-1.109,0.002099
Q8N1I0,DOCK4,21,-1.116,0.000025
P63000,RAC1,5,-1.116,0.000043
Q9NX57,RAB20,6,-1.116,0.000114
O43739,CYTH3,2,-1.116,0.000078
P42574,CASP3,2,-1.117,0.000061
Q9H0W5,CCDC8,17,-1.119,0.000099
P54753,EPHB3,10,-1.122,0.000172
P51654,GPC3,16,-1.123,0.231532
P36021,SLC16A2,7,-1.128,0.000063
O14640,DVL1,8,-1.128,0.000149
Q96I99,SUCLG2,7,-1.135,0.000016
Q8IW52,SLITRK4,17,-1.136,0.000145
Q86SQ0,PHLDB2,9,-1.139,0.000081
P32241,VIPR1,4,-1.139,0.000107
Q7Z5N4,SDK1,25,-1.144,0.000031
Q9UPN3,MACF1,47,-1.151,0.000031
Q9Y5Y6,ST14,12,-1.151,0.004331
P11717,IGF2R,51,-1.152,0.000053
O00264,PGRMC1,7,-1.152,0.000068
Q9H223,EHD4,23,-1.161,0.000045
P51828,ADCY7,4,-1.164,0.000099
Q99720,SIGMAR1,3,-1.169,0.000008
P29320,EPHA3,3,-1.178,0.001109
P46821,MAP1B,33,-1.179,0.000024
Q6UWE0,LRSAM1,14,-1.18,0.000047
Q14524,SCN5A,2,-1.186,0.00055
Q9BX79,STRA6,9,-1.188,0.000049
Q99678,GPR20,2,-1.188,0.000057
P04899,GNAI2,8,-1.192,0.000038
P54764,EPHA4,20,-1.194,0.000708
Q9HCG7,GBA2,3,-1.195,0.000023
Q9H8M5,CNNM2,24,-1.202,0.000041
Q9BXS9,SLC26A6,27,-1.206,0.000036
Q99569,PKP4,22,-1.209,0.000132
P62873,GNB1,5,-1.212,0.000038
Q68EM7,ARHGAP17,7,-1.213,0.000085
O60779,SLC19A2,6,-1.223,0.00005
P36897,TGFBR1,14,-1.225,0.000008
P01911,HLA-DRB1,2,-1.239,0.000017
Q31612,HLA-B,2,-1.243,0.000021
Q9BSJ8,ESYT1,30,-1.252,0.000036
Q9BYG5,PARD6B,7,-1.256,0.00002
Q12923,PTPN13,47,-1.257,0.000103
P21579,SYT1,3,-1.258,0.000017
Q9NQX5,NPDC1,3,-1.26,0.001142
Q9HBU6,ETNK1,2,-1.261,0.000005
P17677,GAP43,6,-1.262,0.000017
Q99755,PIP5K1A,14,-1.263,0.000017
Q9ULF5,SLC39A10,25,-1.273,0.053999
Q9Y5E7,PCDHB2,4,-1.274,0.034684
Q9Y5X1,SNX9,9,-1.277,0.000009
Q14699,RFTN1,7,-1.279,0.000122
Q5JWF2,GNAS,15,-1.284,0.00002
Q92556,ELMO1,5,-1.291,0.000011
Q86UF1,TSPAN33,4,-1.293,0.00003
Q9UJU6,DBNL,15,-1.3,0.000006
O75923,DYSF,26,-1.301,0.000182
O95279,KCNK5,4,-1.305,0.000474
Q16760,DGKD,6,-1.307,0.000016
P98155,VLDLR,20,-1.316,0.000453
Q06418,TYRO3,28,-1.317,0.000538
Q05397,PTK2,8,-1.318,0.000008
P35916,FLT4,3,-1.318,0.000064
O15439,ABCC4,69,-1.337,0.000014
Q5BJF2,TMEM97,3,-1.339,0.000007
Q96F81,DISP1,17,-1.339,0.000058
Q9H2M9,RAB3GAP2,36,-1.349,0.00001
Q9UEY8,ADD3,3,-1.354,0.000007
Q5JTC6,AMER1,4,-1.358,0.00004
Q04912,MST1R,9,-1.36,0.000012
P30825,SLC7A1,8,-1.36,0.000005
Q6IE81,JADE1,2,-1.362,0.000006
Q5W0Z9,ZDHHC20,9,-1.366,0.000004
O75954,TSPAN9,5,-1.367,0.000006
Q6UWB1,IL27RA,8,-1.371,0.00001
P50895,BCAM,31,-1.372,0.000022
Q13444,ADAM15,8,-1.376,0.000027
Q9Y6N7,ROBO1,55,-1.378,0.000143
Q96TA1,NIBAN2,16,-1.378,0.000027
P10114,RAP2A,3,-1.382,0.000004
P12814,ACTN1,17,-1.383,0.000019
Q13563,PKD2,4,-1.386,0.000019
Q9Y5S2,CDC42BPB,56,-1.388,0.000007
Q13705,ACVR2B,12,-1.39,0.000038
P34925,RYK,2,-1.391,0.000089
Q8IWK6,ADGRA3,23,-1.396,0.000047
Q13153,PAK1,3,-1.397,0.000009
O95622,ADCY5,4,-1.403,0.000007
O00299,CLIC1,10,-1.406,0.000016
P23229,ITGA6,70,-1.407,0.000008
Q9H313,TTYH1,3,-1.412,0.000003
Q9ULV3,CIZ1,3,-1.413,0.000004
Q14517,FAT1,73,-1.413,0.092435
Q99835,SMO,7,-1.417,0.000003
Q9UIW2,PLXNA1,56,-1.418,0.000033
Q92896,GLG1,24,-1.419,0.000047
P49327,FASN,110,-1.419,0.000009
P32004,L1CAM,46,-1.421,0.000055
P26038,MSN,22,-1.426,0.000002
Q9UHE8,STEAP1,3,-1.436,0.000005
Q14571,ITPR2,12,-1.438,0.000006
P98160,HSPG2,7,-1.439,0.00185
P11166,SLC2A1,15,-1.445,0.000016
Q15283,RASA2,17,-1.447,0.000007
Q13454,TUSC3,3,-1.449,0.000003
P51157,RAB28,5,-1.452,0.000065
Q14254,FLOT2,14,-1.453,0.000005
P60712,ACTB,17,-1.456,0.000022
O95136,S1PR2,2,-1.456,0.000039
O60610,DIAPH1,30,-1.471,0.000002
P50552,VASP,8,-1.474,0.000004
Q13564,NAE1,11,-1.475,0.000004
P55196,AFDN,76,-1.48,0.000005
Q9UKW4,VAV3,2,-1.481,0.000007
O60503,ADCY9,33,-1.485,0.000018
O14490,DLGAP1,3,-1.488,0.000008
P56937,HSD17B7,9,-1.497,0.000005
Q8IUI8,CRLF3,2,-1.497,0.000065
P05556,ITGB1,42,-1.508,0.000002
Q96JA1,LRIG1,27,-1.517,0.000017
P56747,CLDN6,5,-1.517,0.000007
P08648,ITGA5,22,-1.529,0.000032
Q9H329,EPB41L4B,10,-1.538,0.000004
O14817,TSPAN4,3,-1.538,0.000005
P11169,SLC2A3,21,-1.54,0.000013
Q9Y4J8,DTNA,6,-1.543,0.000012
P08670,VIM,3,-1.551,0.000004
Q9HCM2,PLXNA4,2,-1.558,0.000009
P08237,PFKM,26,-1.559,0.000003
Q9Y6M7,SLC4A7,64,-1.562,0.000007
Q9NYQ7,CELSR3,26,-1.562,0.000097
Q9BRK0,REEP2,2,-1.579,0.001281
Q08289,CACNB2,4,-1.583,0.000012
Q96RU3,FNBP1,8,-1.586,0.000001
Q02246,CNTN2,6,-1.586,0.000006
P42658,DPP6,12,-1.587,0.000002
P35611,ADD1,11,-1.59,0.000001
Q16643,DBN1,21,-1.591,0.000001
Q08345,DDR1,28,-1.597,0.000424
Q8IY26,PLPP6,3,-1.598,0.000052
Q9H4M7,PLEKHA4,4,-1.602,0.000019
Q96T49,PPP1R16B,2,-1.603,0.000002
Q6PJG9,LRFN4,5,-1.606,0.000015
Q9H2E6,SEMA6A,38,-1.612,0.009664
P26006,ITGA3,27,-1.615,0.000008
P26232,CTNNA2,4,-1.615,0.000099
Q9ULZ9,MMP17,4,-1.616,0.001109
Q96B86,RGMA,5,-1.619,0.025314
Q6N022,TENM4,28,-1.622,0.000021
Q7Z3B1,NEGR1,3,-1.622,0.000024
Q16512,PKN1,17,-1.625,0.000002
Q8N158,GPC2,7,-1.627,0.02509
P18206,VCL,38,-1.634,0.000144
Q13464,ROCK1,52,-1.636,0.000002
A7MBM2,DISP2,5,-1.636,0.000196
Q8NFP9,NBEA,15,-1.639,0.000002
Q15758,SLC1A5,22,-1.653,0.000001
Q02750,MAP2K1,3,-1.655,0.000001
Q9BZA7,PCDH11X,13,-1.656,0.00003
Q8N350,CBARP,20,-1.662,0.000004
P41743,PRKCI,11,-1.675,0.000002
Q9BRK5,SDF4,9,-1.684,0.000179
Q15942,ZYX,14,-1.686,0.000003
Q9ULK5,VANGL2,3,-1.695,0.000001
Q8N392,ARHGAP18,2,-1.702,0.000277
O95180,CACNA1H,10,-1.708,0.000005
O75167,PHACTR2,4,-1.709,0
Q9Y5F9,PCDHGB6,8,-1.717,0.008262
P58549,FXYD7,2,-1.72,0.000007
P35612,ADD2,13,-1.722,0
Q9Y490,TLN1,92,-1.731,0.000001
Q13591,SEMA5A,3,-1.733,0.000715
O15394,NCAM2,11,-1.741,0.000001
Q92673,SORL1,55,-1.742,0.000001
Q13477,MADCAM1,3,-1.752,0.000052
P20936,RASA1,20,-1.755,0.000002
O14936,CASK,38,-1.762,0.000001
P30874,SSTR2,2,-1.762,0.000001
Q96A83,COL26A1,3,-1.768,0.000053
Q14244,MAP7,14,-1.781,0.000001
Q12959,DLG1,24,-1.785,0.000001
O94991,SLITRK5,10,-1.79,0.000002
Q9UMF0,ICAM5,2,-1.792,0.000747
Q16880,UGT8,5,-1.793,0.000001
Q86T13,CLEC14A,3,-1.794,0.000002
Q9Y2Q0,ATP8A1,5,-1.796,0.000001
Q96T83,SLC9A7,13,-1.803,0.000001
Q14982,OPCML,2,-1.82,0.000001
Q9BYT8,NLN,11,-1.821,0.000023
Q9NRY4,ARHGAP35,8,-1.829,0
Q14162,SCARF1,9,-1.83,0.000002
A6NDB9,PALM3,17,-1.832,0.000003
P25929,NPY1R,2,-1.836,0.000005
Q9Y696,CLIC4,9,-1.837,0.000006
O60346,PHLPP1,6,-1.839,0
Q92738,USP6NL,5,-1.845,0
O00291,HIP1,38,-1.846,0.000001
P35568,IRS1,2,-1.848,0.000032
O00750,PIK3C2B,22,-1.848,0.000001
P24394,IL4R,4,-1.852,0.000003
O43306,ADCY6,15,-1.862,0.000007
Q9H2S1,KCNN2,3,-1.872,0.000001
Q96RD7,PANX1,15,-1.875,0.000001
Q8TCZ2,CD99L2,2,-1.877,0.001852
Q8WY07,SLC7A3,9,-1.88,0.000001
Q8TBJ4,PLPPR1,2,-1.889,0.000001
O15075,DCLK1,6,-1.899,0.000002
P60763,RAC3,3,-1.9,0
O00192,ARVCF,31,-1.908,0.000001
Q6P1M3,LLGL2,17,-1.914,0.000005
Q70Z35,PREX2,9,-1.921,0.000001
Q8NFX7,STXBP6,4,-1.926,0
Q04721,NOTCH2,22,-1.93,0.000002
Q9Y5H3,PCDHGA10,3,-1.934,0.010475
Q96PD2,DCBLD2,22,-1.94,0.022856
Q969P0,IGSF8,17,-1.949,0.000001
Q6EMK4,VASN,13,-1.954,0.000465
Q29983,MICA,6,-1.957,0.004192
Q9UM47,NOTCH3,10,-1.958,0.000001
Q4KMG0,CDON,8,-1.969,0.00012
P08138,NGFR,6,-1.97,0.000002
Q96JQ0,DCHS1,10,-1.975,0.000118
P56199,ITGA1,35,-1.977,0.000002
Q16348,SLC15A2,2,-1.985,0.000001
Q92963,RIT1,3,-1.991,0.000005
P08581,MET,32,-1.997,0.000026
P55283,CDH4,8,-1.999,0.000031
P17081,RHOQ,2,-2.006,0.000001
Q9ULL4,PLXNB3,2,-2.009,0.000007
Q14644,RASA3,14,-2.009,0
Q13433,SLC39A6,12,-2.013,0.000015
Q9H3S1,SEMA4A,3,-2.022,0.053999
P09543,CNP,26,-2.027,0.000001
Q15334,LLGL1,29,-2.028,0
P22681,CBL,15,-2.041,0
Q9NZ08,ERAP1,14,-2.046,0
Q96ES6,MFSD3,2,-2.05,0
Q8TDW0,LRRC8C,13,-2.052,0.000001
O43491,EPB41L2,42,-2.053,0
O60603,TLR2,3,-2.055,0.000001
O15427,SLC16A3,8,-2.061,0.000002
P32942,ICAM3,16,-2.068,0
O15197,EPHB6,6,-2.07,0.000001
P17655,CAPN2,3,-2.085,0.000006
P16444,DPEP1,5,-2.088,0
P23470,PTPRG,46,-2.095,0.000059
P20309,CHRM3,8,-2.101,0
O15020,SPTBN2,20,-2.102,0
Q7Z2K8,GPRIN1,20,-2.102,0.000001
P98172,EFNB1,11,-2.106,0.000005
Q9Y4C2,TCAF1,8,-2.107,0
O94813,SLIT2,8,-2.116,0.007257
Q8WXS5,CACNG8,9,-2.129,0.000021
Q9UBG0,MRC2,19,-2.138,0
Q9NRY6,PLSCR3,2,-2.14,0
Q9Y5L3,ENTPD2,5,-2.141,0.000014
Q9BQG1,SYT3,2,-2.157,0
Q5IJ48,CRB2,10,-2.158,0.000001
P04406,GAPDH,32,-2.159,0
Q03113,GNA12,3,-2.169,0
P51178,PLCD1,15,-2.174,0.000001
P31323,PRKAR2B,5,-2.176,0
Q9H2H9,SLC38A1,11,-2.18,0
Q13491,GPM6B,2,-2.183,0
P50443,SLC26A2,14,-2.185,0
Q9UP38,FZD1,3,-2.196,0
Q8NFZ4,NLGN2,12,-2.203,0.00002
Q96PE5,OPALIN,2,-2.207,0.000941
P16150,SPN,7,-2.211,0
P11171,EPB41,28,-2.226,0
Q8N8S7,ENAH,5,-2.231,0.000001
O14745,SLC9A3R1,23,-2.233,0.000001
P78356,PIP4K2B,5,-2.239,0
O14763,TNFRSF10B,7,-2.251,0.000001
O75955,FLOT1,11,-2.253,0
Q8NFZ8,CADM4,8,-2.267,0.000002
Q13308,PTK7,51,-2.302,0
Q8NA29,MFSD2A,4,-2.309,0
Q6P9F7,LRRC8B,17,-2.321,0.000001
Q9NT99,LRRC4B,20,-2.324,0
Q9BY67,CADM1,18,-2.334,0
Q14168,MPP2,11,-2.338,0
P19086,GNAZ,7,-2.339,0.000001
Q9UN73,PCDHA6,2,-2.342,0.009689
Q8TDY8,IGDCC4,15,-2.345,0.000001
Q9Y6I3,EPN1,20,-2.345,0
O60266,ADCY3,29,-2.349,0
Q86SJ2,AMIGO2,7,-2.354,0
Q96QD8,SLC38A2,6,-2.355,0.000001
Q13797,ITGA9,20,-2.371,0
Q9BZQ8,NIBAN1,16,-2.376,0
Q86UT6,NLRX1,4,-2.381,0
Q6ZUX7,LHFPL2,3,-2.402,0.000002
Q96FN4,CPNE2,6,-2.405,0.000002
Q92854,SEMA4D,23,-2.407,0.027127
Q9UHC6,CNTNAP2,5,-2.41,0.000001
Q9BTN0,LRFN3,6,-2.412,0.000001
Q8WWN8,ARAP3,20,-2.416,0
Q8N126,CADM3,4,-2.432,0.000002
P20023,CR2,9,-2.433,0.000001
P01133,EGF,2,-2.448,0.002673
Q4KWH8,PLCH1,24,-2.458,0
P40145,ADCY8,8,-2.462,0
P35968,KDR,22,-2.501,0
P17301,ITGA2,37,-2.501,0.000001
Q5EBL8,PDZD11,3,-2.516,0
P07384,CAPN1,31,-2.525,0
P48066,SLC6A11,2,-2.527,0
Q5T7P8,SYT6,6,-2.546,0
O95864,FADS2,18,-2.547,0
P40967,PMEL,8,-2.582,0
Q9Y2J2,EPB41L3,8,-2.583,0
P12931,SRC,9,-2.584,0
P07204,THBD,2,-2.596,0.00007
O76062,TM7SF2,3,-2.6,0.000001
Q9P289,STK26,10,-2.609,0
P51153,RAB13,13,-2.611,0
Q07065,CKAP4,26,-2.617,0
Q8TDW7,FAT3,84,-2.62,0.011933
P57087,JAM2,4,-2.621,0
P78357,CNTNAP1,15,-2.627,0.000001
P53985,SLC16A1,12,-2.64,0
Q9Y4F9,RIPOR2,3,-2.642,0.000006
P10301,RRAS,3,-2.644,0.000009
P04626,ERBB2,40,-2.645,0.000001
P08069,IGF1R,52,-2.652,0
Q9BZR6,RTN4R,3,-2.659,0.026059
Q8N2Q7,NLGN1,9,-2.662,0
P23352,ANOS1,17,-2.665,0.020814
Q13585,GPR50,7,-2.676,0
Q5SZK8,FREM2,117,-2.689,0.031559
Q7Z628,NET1,2,-2.692,0.000001
P23468,PTPRD,28,-2.694,0.000001
P63096,GNAI1,4,-2.695,0
Q92859,NEO1,61,-2.711,0.001443
P61769,B2M,3,-2.723,0
Q86UN3,RTN4RL2,7,-2.75,0.014773
Q9Y6Q6,TNFRSF11A,5,-2.782,0
Q13332,PTPRS,14,-2.79,0.018249
P51674,GPM6A,2,-2.792,0
Q8N7R7,CCNYL1,6,-2.799,0
Q9UQ49,NEU3,6,-2.833,0
P29966,MARCKS,9,-2.84,0
Q9HCK4,ROBO2,27,-2.84,0
O43157,PLXNB1,52,-2.86,0
P54762,EPHB1,16,-2.88,0
P78324,SIRPA,12,-2.883,0
P78552,IL13RA1,7,-2.888,0
Q8NCB2,CAMKV,18,-2.888,0
Q9UKE5,TNIK,21,-2.896,0
P18089,ADRA2B,6,-2.904,0
Q92485,SMPDL3B,17,-2.905,0
Q8WUG5,SLC22A17,3,-2.905,0
Q6UXZ4,UNC5D,11,-2.916,0
P17252,PRKCA,11,-2.926,0
P17948,FLT1,18,-2.926,0.000184
Q9P0K1,ADAM22,11,-2.933,0
P51511,MMP15,16,-2.935,0.005746
P14209,CD99,2,-2.949,0
P41586,ADCYAP1R1,4,-2.969,0
O14975,SLC27A2,2,-2.994,0
Q6T4P5,PLPPR3,7,-3.006,0
Q969I6,SLC38A4,5,-3.051,0
P23276,KEL,3,-3.088,0.000001
Q6UVK1,CSPG4,64,-3.094,0.003403
Q14439,GPR176,10,-3.101,0
Q13683,ITGA7,32,-3.11,0
P09471,GNAO1,9,-3.116,0
P50150,GNG4,2,-3.117,0
Q9NQS3,NECTIN3,15,-3.152,0
Q9NRJ7,PCDHB16,3,-3.175,0.000522
P49006,MARCKSL1,7,-3.185,0
Q08174,PCDH1,36,-3.187,0.004792
P20594,NPR2,24,-3.231,0
Q9Y6R1,SLC4A4,13,-3.239,0
Q8IVU1,IGDCC3,16,-3.25,0.000008
P19022,CDH2,22,-3.264,0
Q14114,LRP8,23,-3.276,0
Q9UPX8,SHANK2,33,-3.28,0
Q08431,MFGE8,14,-3.298,0.000001
Q9Y3Q4,HCN4,15,-3.303,0
P01891,HLA-A,4,-3.313,0
O94856,NFASC,18,-3.356,0
P29323,EPHB2,29,-3.375,0
Q13740,ALCAM,35,-3.379,0
P34741,SDC2,8,-3.388,0
O43424,GRID2,33,-3.412,0
P51512,MMP16,8,-3.422,0.000003
Q9H2J7,SLC6A15,7,-3.434,0
Q9UBN6,TNFRSF10D,5,-3.444,0
P14415,ATP1B2,7,-3.455,0
Q96QZ7,MAGI1,29,-3.458,0
Q5VZK9,CARMIL1,48,-3.503,0
Q86Y22,COL23A1,2,-3.513,0
P13612,ITGA4,21,-3.514,0
Q9NPA2,MMP25,8,-3.517,0.000004
O75056,SDC3,3,-3.529,0.000106
O00220,TNFRSF10A,8,-3.53,0
Q9Y4F1,FARP1,28,-3.543,0
P32418,SLC8A1,14,-3.544,0
Q9H6X2,ANTXR1,21,-3.562,0
Q9ULB1,NRXN1,24,-3.586,0
P21709,EPHA1,28,-3.596,0.00001
Q4V9L6,TMEM119,6,-3.603,0
Q86UL8,MAGI2,12,-3.629,0
Q16555,DPYSL2,18,-3.669,0
P57729,RAB38,2,-3.683,0
Q8TD20,SLC2A12,5,-3.683,0
Q9UIJ5,ZDHHC2,3,-3.685,0
O94933,SLITRK3,5,-3.698,0
P63215,GNG3,3,-3.715,0
Q8IVF7,FMNL3,12,-3.741,0
Q9H3T3,SEMA6B,10,-3.752,0
Q12860,CNTN1,26,-3.784,0
O75487,GPC4,27,-3.787,0.000009
P29317,EPHA2,39,-3.824,0
O14910,LIN7A,4,-3.828,0
Q8NFT2,STEAP2,2,-3.833,0
O75084,FZD7,7,-3.833,0
Q13449,LSAMP,4,-3.871,0
P08913,ADRA2A,5,-3.878,0
Q8WUX1,SLC38A5,12,-3.884,0
P43005,SLC1A1,12,-3.895,0
P06239,LCK,13,-3.914,0
Q9NZ94,NLGN3,15,-3.971,0.000017
P24530,EDNRB,8,-3.98,0
P13591,NCAM1,37,-3.998,0
Q9Y625,GPC6,19,-4.009,0
Q5XXA6,ANO1,26,-4.048,0
Q9UGN4,CD300A,4,-4.052,0
Q8N0W4,NLGN4X,6,-4.115,0.000001
Q14332,FZD2,6,-4.125,0
Q7L0J3,SV2A,13,-4.133,0
P47900,P2RY1,6,-4.182,0
P09619,PDGFRB,28,-4.2,0
P18827,SDC1,7,-4.261,0
P05771,PRKCB,2,-4.273,0.000062
Q08462,ADCY2,27,-4.305,0
Q9P121,NTM,3,-4.359,0
Q9BQS7,HEPH,19,-4.378,0
Q13642,FHL1,3,-4.378,0
O14525,ASTN1,31,-4.389,0
P35590,TIE1,3,-4.465,0
Q9UIG8,SLCO3A1,6,-4.498,0
P50993,ATP1A2,44,-4.528,0
P28472,GABRB3,11,-4.608,0
P30530,AXL,23,-4.635,0
P34903,GABRA3,13,-4.685,0
P16066,NPR1,32,-4.7,0
Q10589,BST2,5,-4.71,0.000001
O00592,PODXL,29,-4.719,0
Q9Y3P8,SIT1,4,-4.766,0
Q6PCB8,EMB,11,-4.771,0
Q01973,ROR1,33,-4.779,0
Q8N3J6,CADM2,11,-4.779,0
P01893,HLA-H,2,-4.785,0
P31644,GABRA5,8,-4.833,0
Q53GD3,SLC44A4,3,-4.851,0
P23471,PTPRZ1,66,-5.062,0
Q9ULX7,CA14,11,-5.121,0
Q8IYJ0,PIANP,3,-5.538,0
P04216,THY1,3,-5.713,0
